date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:43	3326/3326	---M--	200	added ('OK')	image/png	etag:%22cfe-58d677e947b53%22	https://www.sun-immobilier.fr/images/detail/detail-surface2.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/detail/detail-surface2.png	(from https://www.sun-immobilier.fr/a-louer/)
19:19:44	3557/3557	---M--	200	added ('OK')	image/png	etag:%22de5-58d677e94dc4d%22	https://www.sun-immobilier.fr/images/detail/detail-chambre2.png	C:/Mes%20Sites%20Web/mathis2/www.sun-immobilier.fr/images/detail/detail-chambre2.png	(from https://www.sun-immobilier.fr/a-louer/)
19:19:45	42257/42257	---M--	200	added ('OK')	image/jpeg	etag:%22613689a5-a511%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/2fc826d6841fdba222eefdad146537ce/original/photo_a0d6bedafc794c62d0a38fca6e12def9.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/2fc826d6841fdba222eefdad146537ce/original/photo_a0d6bedafc794c62d0a38fca6e12def9.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:49	52641/52641	---M--	200	added ('OK')	image/jpeg	etag:%226135f8a5-cda1%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/52d40da13f7101906cd223415a05788b/original/photo_02b954fc564244d122361565bb7671ed.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/52d40da13f7101906cd223415a05788b/original/photo_02b954fc564244d122361565bb7671ed.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:50	29374/29374	---M--	200	added ('OK')	image/jpeg	etag:%22613b20b8-72be%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/8986492baeeb6178ac2fd2f0092a123b/original/photo_17b3f7daea9b2f4ebc965866f96d3635.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/8986492baeeb6178ac2fd2f0092a123b/original/photo_17b3f7daea9b2f4ebc965866f96d3635.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:52	36653/36653	---M--	200	added ('OK')	image/jpeg	etag:%22613b5983-8f2d%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/bb720fb40fee3dfb24282bc73c354cac/original/photo_cdbdf8397dc72e41cda896d2ed71a2aa.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/bb720fb40fee3dfb24282bc73c354cac/original/photo_cdbdf8397dc72e41cda896d2ed71a2aa.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:53	44605/44605	---M--	200	added ('OK')	image/jpeg	etag:%22613689a5-ae3d%22	http://sunimmo.staticlbi.com/500x500/images/biens/1/1a76e67cbbbe52846d900674ed30f472/original/photo_979f62575f5f6006eae61beeced36702.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/1/1a76e67cbbbe52846d900674ed30f472/original/photo_979f62575f5f6006eae61beeced36702.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:53	21624/21624	---M--	200	added ('OK')	image/jpeg	etag:%226136dab1-5478%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/72a0e11564b9132bd61cda35f294ee7a/32_photo_5083420702aa0bedeb6564f6c4686616.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/72a0e11564b9132bd61cda35f294ee7a/32_photo_5083420702aa0bedeb6564f6c4686616.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:55	42386/42386	---M--	200	added ('OK')	image/jpeg	etag:%22613689a5-a592%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/a66049606fdab008b0b211c150d7404c/original/photo_faff3470f154a546cae5a81ca3085ef1.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/a66049606fdab008b0b211c150d7404c/original/photo_faff3470f154a546cae5a81ca3085ef1.jpg	(from https://www.sun-immobilier.fr/a-louer/)
19:19:55	15995/15995	---M--	200	added ('OK')	image/jpeg	etag:%226131f4a2-3e7b%22	http://sunimmo.staticlbi.com/500x500/images/biens/6/9c3f2dd513dc418c7fdf6dbd1ae624d0/original/photo_2f98b8a9b0883c4d8955f9e74ade0ead.jpg	C:/Mes%20Sites%20Web/mathis2/sunimmo.staticlbi.com/500x500/images/biens/6/9c3f2dd513dc418c7fdf6dbd1ae624d0/original/photo_2f98b8a9b0883c4d8955f9e74ade0ead.jpg	(from https://www.sun-immobilier.fr/a-louer/)
